시도명,시군구명,지역,SGGCD25
서울특별시,종로구,서울특별시 종로구,11010
서울특별시,중구,서울특별시 중구,11020
서울특별시,용산구,서울특별시 용산구,11030
서울특별시,성동구,서울특별시 성동구,11040
서울특별시,광진구,서울특별시 광진구,11050
서울특별시,동대문구,서울특별시 동대문구,11060
서울특별시,중랑구,서울특별시 중랑구,11070
서울특별시,성북구,서울특별시 성북구,11080
서울특별시,강북구,서울특별시 강북구,11090
서울특별시,도봉구,서울특별시 도봉구,11100
서울특별시,노원구,서울특별시 노원구,11110
서울특별시,은평구,서울특별시 은평구,11120
서울특별시,서대문구,서울특별시 서대문구,11130
서울특별시,마포구,서울특별시 마포구,11140
서울특별시,양천구,서울특별시 양천구,11150
서울특별시,강서구,서울특별시 강서구,11160
서울특별시,구로구,서울특별시 구로구,11170
서울특별시,금천구,서울특별시 금천구,11180
서울특별시,영등포구,서울특별시 영등포구,11190
서울특별시,동작구,서울특별시 동작구,11200
서울특별시,관악구,서울특별시 관악구,11210
서울특별시,서초구,서울특별시 서초구,11220
서울특별시,강남구,서울특별시 강남구,11230
서울특별시,송파구,서울특별시 송파구,11240
서울특별시,강동구,서울특별시 강동구,11250
부산광역시,중구,부산광역시 중구,21010
부산광역시,서구,부산광역시 서구,21020
부산광역시,동구,부산광역시 동구,21030
부산광역시,영도구,부산광역시 영도구,21040
부산광역시,부산진구,부산광역시 부산진구,21050
부산광역시,동래구,부산광역시 동래구,21060
부산광역시,남구,부산광역시 남구,21070
부산광역시,북구,부산광역시 북구,21080
부산광역시,해운대구,부산광역시 해운대구,21090
부산광역시,사하구,부산광역시 사하구,21100
부산광역시,금정구,부산광역시 금정구,21110
부산광역시,강서구,부산광역시 강서구,21120
부산광역시,연제구,부산광역시 연제구,21130
부산광역시,수영구,부산광역시 수영구,21140
부산광역시,사상구,부산광역시 사상구,21150
부산광역시,기장군,부산광역시 기장군,21510
대구광역시,중구,대구광역시 중구,22010
대구광역시,동구,대구광역시 동구,22020
대구광역시,서구,대구광역시 서구,22030
대구광역시,남구,대구광역시 남구,22040
대구광역시,북구,대구광역시 북구,22050
대구광역시,수성구,대구광역시 수성구,22060
대구광역시,달서구,대구광역시 달서구,22070
대구광역시,달성군,대구광역시 달성군,22510
대구광역시,군위군,대구광역시 군위군,22520
인천광역시,중구,인천광역시 중구,23010
